rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y,score
65,Nadal,Djokovic,Djokovic,out,first,5,4.36,-1.04,20.45,"6:3 0:0, 15:0"
66,Nadal,Djokovic,Nadal,winner,first,3,0.88,1.67,20.06,"6:3 0:0, 15:15"
67,Nadal,Djokovic,Nadal,out,first,2,0.72,8.51,-1.35,"6:3 0:0, 15:30"
70,Nadal,Djokovic,Djokovic,winner,second,4,3.44,1.4,1.59,"6:3 0:0, 30:30"
71,Nadal,Djokovic,Nadal,winner,first,1,0,4.84,29.68,"6:3 0:0, 30:40"
73,Nadal,Djokovic,Nadal,winner,second,3,1.76,1.92,21.65,"6:3 0:1, 0:0"
75,Djokovic,Nadal,Djokovic,net,second,4,3.88,5.85,12.58,"6:3 0:1, 15:0"
77,Djokovic,Nadal,Djokovic,net,second,4,2.76,6.64,13.42,"6:3 0:1, 30:0"
78,Djokovic,Nadal,Djokovic,ace,first,1,0,2.91,29.27,"6:3 0:1, 40:0"
79,Djokovic,Nadal,Djokovic,net,first,4,3.56,4.26,11.57,"6:3 1:1, 0:0"
80,Nadal,__undefined__,Nadal,net,first,2,0.76,2.89,13.93,"6:3 1:1, 0:15"
81,Nadal,Djokovic,Djokovic,out,first,5,4.48,5.87,-0.81,"6:3 1:1, 15:15"
82,Nadal,Djokovic,Djokovic,net,first,19,16.16,5.46,17.09,"6:3 1:1, 30:15"
84,Nadal,Djokovic,Nadal,winner,second,3,2,9.26,0.58,"6:3 1:1, 30:30"
86,Nadal,Djokovic,Nadal,winner,second,7,7.2,1.61,6.54,"6:3 1:1, 30:40"
87,Nadal,Djokovic,Nadal,net,first,2,0.88,2.94,12.78,"6:3 1:2, 0:0"
89,Djokovic,Nadal,Djokovic,net,second,2,0.92,6.06,12.93,"6:3 1:2, 15:0"
91,Djokovic,Nadal,Nadal,net,first,5,4.8,3.36,15.54,"6:3 1:2, 15:15"
92,Djokovic,Nadal,Djokovic,out,first,2,0.76,9.86,18.4,"6:3 1:2, 30:15"
93,Djokovic,Nadal,Djokovic,out,first,6,4.56,0.61,24.45,"6:3 1:2, 40:15"
94,Djokovic,Nadal,Djokovic,winner,first,1,0,5.46,-1.77,"6:3 2:2, 0:0"
96,Nadal,Djokovic,Djokovic,out,second,15,0.84,1.47,26.69,"6:3 2:2, 15:0"
97,Nadal,Djokovic,Djokovic,out,first,5,5.36,6.91,24.33,"6:3 2:2, 30:0"
98,Nadal,Djokovic,Nadal,ace,first,1,0,-1.11,26.94,"6:3 2:2, 30:15"
99,Nadal,Djokovic,Djokovic,net,first,3,2.12,3.83,11.24,"6:3 2:2, 40:15"
101,Nadal,Djokovic,Djokovic,out,first,2,-0.52,5.94,27.32,"6:3 3:2, 0:0"
103,Djokovic,Nadal,Nadal,out,second,3,2.24,3.29,26.82,"6:3 3:2, 0:15"
104,Djokovic,Nadal,Djokovic,out,first,4,3.88,0.23,4.71,"6:3 3:2, 15:15"
105,Djokovic,Nadal,Nadal,out,first,3,2.2,9.15,17.78,"6:3 3:2, 15:30"
108,Djokovic,Nadal,Djokovic,winner,second,7,7.92,0.8,21.85,"6:3 3:2, 30:30"
109,Djokovic,Nadal,Djokovic,out,first,14,17.48,9.17,5.84,"6:3 3:2, 40:30"
110,Djokovic,Nadal,Nadal,net,first,11,9.12,8.35,13,"6:3 3:2, 40:40"
111,Djokovic,Nadal,Djokovic,winner,first,7,0.84,7.57,21.55,"6:3 3:2, Ad:40"
112,Djokovic,Nadal,Nadal,winner,first,8,10.04,8.35,0.26,"6:3 3:2, 40:40"
114,Djokovic,Nadal,Djokovic,out,second,8,8.88,1.1,4.57,"6:3 3:2, Ad:40"
115,Djokovic,Nadal,Djokovic,net,first,10,0.84,3.7,12.93,"6:3 4:2, 0:0"
117,Nadal,Djokovic,Nadal,winner,second,7,6.599999999,7.57,10.17,"6:3 4:2, 0:15"
119,Nadal,Djokovic,Djokovic,double_fault,second,1,0,4.75,12.03,"6:3 4:2, 15:15"
120,Nadal,Djokovic,Djokovic,winner,first,14,1.88,8.23,20.65,"6:3 4:2, 30:15"
122,Nadal,__undefined__,Djokovic,winner,first,8,8.84,8.14,22.17,"6:3 4:2, 40:15"
